warm sand,204,184,157
dark mustard,172,127,82
marblehead gold,226,197,121
island getaway,60,167,130
bone white,232,223,203
white wisp,231,233,226
autumn cover,214,111,79
bare,248,239,220
eve green,205,188,15
tangelo,255,162,53
november skies,173,187,201
mixed fruit,255,191,185
rustic brick,143,72,57
capilano bridge,193,168,136
steamed spinach,65,117,102
yellow highlighter,255,223,101
spring has sprung,182,185,150
autumn purple,94,62,85
terrapin green,140,141,81
titanic rose,204,159,154
antique glass,168,200,189
halifax cream,248,240,210
winter sunshine,250,240,198
sunshine on the bay,244,229,157
lightning bug,248,227,126
fiesta yellow,251,223,97
glimmer,248,215,80
sunrays,241,202,52
orange blossom,221,129,83
inner glow,242,219,119
yellow brick road,242,205,85
english ochre,190,126,73
sonoma skies,162,218,220
atmospheric,137,158,155
temporal spirit,218,208,188
snow white,242,246,242
pearl river,221,224,223
chocolate velvet,134,118,104
violet stone,143,144,177
yellow topaz,237,209,148
palace arms red,121,61,55
quietude,182,163,145
sundress,249,229,179
jeweled peach,245,112,76
pink cadillac,254,232,233
midsummer night,81,75,70
october sky,246,237,221
light yellow,254,246,197
intense white,225,224,216
raleigh green,90,127,96
handmade,239,216,179
baby pink,249,228,233
lemon drops,255,233,160
burnt ember,107,106,104
porch swing,113,125,122
wispy pink,248,229,229
mountain moss,118,113,86
good vibrations,254,234,182
golden honey,251,226,161
golden bounty,209,167,72
trout gray,106,110,113
peach blossom,235,182,158
showtime,229,196,105
fresh butter,242,224,160
laguna yellow,236,215,138
pink raspberry,199,126,176
california lilac,128,133,191
grizzly bear brown,96,76,61
beaver brown,117,70,58
summer basket green,93,165,147
light khaki,212,198,158
sage,119,109,76
straw hat,218,202,162
barley grass,201,178,129
jet black,52,52,53
sandalwood,178,156,104
santo domingo cream,244,229,183
banana cream,235,220,162
cambridge heights,235,219,154
freedom trail,226,205,130
hollywood gold,203,172,86
riding boots,108,79,63
summer green,185,236,226
crisp linen,250,247,232
charcoal slate,101,104,106
floradale isle,50,152,108
plum raisin,125,70,72
