Word	Index
this	0
movie	1
should	2
not	3
be	4
watched	5
as	6
it	7
was	8
meant	9
to	10
a	11
flop	12
ram	13
gopal	14
verma	15
first	16
wanted	17
make	18
remake	19
of	20
classic	21
bollywood	22
sholay	23
but	24
after	25
having	26
problems	27
with	28
the	29
original	30
makers	31
decided	32
go	33
ahead	34
project	35
and	36
i	37
guess	38
leave	39
all	40
good	41
parts	42
acting	43
script	44
songs	45
music	46
comedy	47
action	48
etc	49
out	50
shoot	51
just	52
because	53
he	54
already	55
happen	56
hire	57
crew	58
waste	59
money	60
fact	61
that	62
entire	63
says	64
something	65
about	66
or	67
me	68
is	69
terrible	70
in	71
way	72
kept	73
my	74
attention	75
perverse	76
manner	77
akin	78
watching	79
tragedy	80
being	81
able	82
look	83
away	84
would	85
have	86
made	87
great	88
mst3k	89
subject	90
br	91
most	92
things	93
enjoyable	94
are	95
here	96
bad	97
dialogue	98
inappropriate	99
contrived	100
plot	101
sequences	102
ridiculous	103
thank	104
g	105
d	106
bombed	107
we	108
might	109
get	110
treated	111
such	112
delights	113
skate	114
fu	115
where	116
can	117
see	118
likes	119
brian	120
boitano	121
performing	122
triple	123
lutz	124
slashing	125
guys	126
ribbons	127
his	128
razor	129
sharp	130
skates	131
digress	132
one	133
thing	134
could	135
helped	136
turkey	137
been	138
little	139
t	140
from	141
ms	142
agbayani	143
s	144
like	145
world	146
seen	147
anything	148
new	149
at	150
least	151
part	152
who	153
saw	154
horrible	155
cast	156
cheap	157
props	158
ve	159
lot	160
better	161
if	162
set	163
an	164
parody	165
style	166
what	167
starting	168
name	169
enemy	170
naming	171
contributing	172
effect	173
cop	174
looking	175
60	176
year	177
old	178
player	179
blond	180
girl	181
same	182
blank	183
boring	184
on	185
her	186
face	187
times	188
towards	189
end	190
well	191
m	192
probably	193
lambasted	194
by	195
everyone	196
site	197
earth	198
worst	199
structured	200
films	201
long	202
time	203
2	204
half	205
hour	206
film	207
feels	208
its	209
three	210
has	211
two	212
tells	213
story	214
family	215
move	216
form	217
their	218
home	219
drought	220
famine	221
they	222
travel	223
again	224
yet	225
another	226
diane	227
lane	228
she	229
cheats	230
husband	231
only	232
role	233
knows	234
how	235
play	236
1969	237
blouse	238
man	239
am	240
so	241
surprised	242
very	243
predictable	244
then	245
gets	246
mad	247
throws	248
milk	249
wouldn	250
slept	251
milkman	252
really	253
didn	254
typical	255
american	256
sorry	257
guy	258
kind	259
london	260
monorail	261
bank	262
england	263
did	264
however	265
tracy	266
island	267
thunderbirds	268
themselves	269
brits	270
were	271
baddies	272
apart	273
parker	274
lady	275
penelope	276
up	277
oh	278
saying	279
stuff	280
forward	281
show	282
given	283
quality	284
actors	285
scott	286
brothers	287
involved	288
unfortunately	289
hopes	290
dashed	291
led	292
believe	293
kgb	294
group	295
inept	296
morons	297
don	298
clue	299
doing	300
point	301
there	302
laughable	303
scene	304
4	305
agents	306
couldn	307
handle	308
cia	309
agent	310
grow	311
weary	312
these	313
biased	314
sided	315
perhaps	316
genre	317
nancy	318
allen	319
linda	320
farentino	321
c	322
thomas	323
also	324
seemed	325
uncomfortable	326
seduced	327
while	328
marijuana	329
why	330
need	331
included	332
weakened	333
considerably	334
charac	335
had	336
more	337
respect	338
for	339
relationship	340
does	341
try	342
say	343
much	344
no	345
kidding	346
ever	347
propose	348
idea	349
kicked	350
studio	351
serious	352
movies	353
exactly	354
every	355
consist	356
traveling	357
foreign	358
locations	359
problem	360
which	361
easily	362
resolve	363
hoping	364
popular	365
getting	366
boyfriends	367
think	368
you	369
starring	370
them	371
different	372
contact	373
tell	374
apology	375
absolutely	376
nothing	377
rachel	378
griffiths	379
must	380
needed	381
low	382
budget	383
lighting	384
non	385
existent	386
vow	387
pete	388
postlesumthingor	389
other	390
ll	391
commit	392
suicide	393
happy	394
know	395
1	396
biggest	397
regret	398
wasted	399
rubbish	400
despite	401
flaws	402
enjoyed	403
cigarette	404
burns	405
john	406
carpenter	407
season	408
episode	409
masters	410
horror	411
series	412
yes	413
cross	414
between	415
mouth	416
madness	417
8mm	418
still	419
quite	420
constraints	421
pro	422
life	423
definitely	424
than	425
else	426
solid	427
directing	428
always	429
houseboat	430
often	431
regarded	432
australian	433
described	434
slasher	435
carried	436
promotion	437
academy	438
award	439
underground	440
disco	441
band	442
members	443
begins	444
die	445
slashed	446
death	447
burned	448
maniac	449
attempting	450
video	451
remote	452
lake	453
